Epoch #39 | Train Average MSE: 0.4451 | Test Average MSE: 0.6460
Epoch #40 | Train Average MSE: 0.3772 | Test Average MSE: 0.6292
Epoch #41 | Train Average MSE: 0.3849 | Test Average MSE: 0.6036
Epoch #42 | Train Average MSE: 0.4274 | Test Average MSE: 0.6375
Epoch #43 | Train Average MSE: 0.4396 | Test Average MSE: 0.6530
Epoch #44 | Train Average MSE: 0.4039 | Test Average MSE: 0.6206
Epoch #45 | Train Average MSE: 0.3703 | Test Average MSE: 0.6286
Epoch #46 | Train Average MSE: 0.3664 | Test Average MSE: 0.6402
Epoch #47 | Train Average MSE: 0.3571 | Test Average MSE: 0.6391
Epoch #48 | Train Average MSE: 0.3185 | Test Average MSE: 0.5828
Epoch #49 | Train Average MSE: 0.3132 | Test Average MSE: 0.5955
Epoch #50 | Train Average MSE: 0.3010 | Test Average MSE: 0.6054
Epoch #51 | Train Average MSE: 0.3143 | Test Average MSE: 0.6070
Epoch #52 | Train Average MSE: 0.2736 | Test Average MSE: 0.5932
Epoch #53 | Train Average MSE: 0.2987 | Test Average MSE: 0.6204
Epoch #54 | Train Average MSE: 0.3108 | Test Average MSE: 0.6371
Epoch #55 | Train Average MSE: 0.2827 | Test Average MSE: 0.5653
Epoch #56 | Train Average MSE: 0.2845 | Test Average MSE: 0.5967
Epoch #57 | Train Average MSE: 0.2787 | Test Average MSE: 0.6018
Epoch #58 | Train Average MSE: 0.2750 | Test Average MSE: 0.5954
Epoch #59 | Train Average MSE: 0.3881 | Test Average MSE: 0.6193
Epoch #60 | Train Average MSE: 0.3228 | Test Average MSE: 0.6044
Epoch #61 | Train Average MSE: 0.3099 | Test Average MSE: 0.6326
Epoch #62 | Train Average MSE: 0.2616 | Test Average MSE: 0.6243
Epoch #63 | Train Average MSE: 0.2180 | Test Average MSE: 0.5639
Epoch #64 | Train Average MSE: 0.2462 | Test Average MSE: 0.5848
Epoch #65 | Train Average MSE: 0.2507 | Test Average MSE: 0.5815
Epoch #66 | Train Average MSE: 0.2698 | Test Average MSE: 0.5868
Epoch #67 | Train Average MSE: 0.2707 | Test Average MSE: 0.6108
Epoch #68 | Train Average MSE: 0.3018 | Test Average MSE: 0.6467
Epoch #69 | Train Average MSE: 0.2555 | Test Average MSE: 0.5820
Epoch #70 | Train Average MSE: 0.2177 | Test Average MSE: 0.5464
Epoch #71 | Train Average MSE: 0.1896 | Test Average MSE: 0.5277
Epoch #72 | Train Average MSE: 0.1967 | Test Average MSE: 0.5698
Epoch #73 | Train Average MSE: 0.2035 | Test Average MSE: 0.5537
Epoch #74 | Train Average MSE: 0.2086 | Test Average MSE: 0.5543
Epoch #75 | Train Average MSE: 0.2198 | Test Average MSE: 0.5673
Epoch #76 | Train Average MSE: 0.1972 | Test Average MSE: 0.5776
Epoch #77 | Train Average MSE: 0.1732 | Test Average MSE: 0.5728
Epoch #78 | Train Average MSE: 0.1853 | Test Average MSE: 0.5825
Epoch #79 | Train Average MSE: 0.2051 | Test Average MSE: 0.5776
Epoch #80 | Train Average MSE: 0.2391 | Test Average MSE: 0.5869
Epoch #81 | Train Average MSE: 0.3010 | Test Average MSE: 0.6208
Epoch #82 | Train Average MSE: 0.2143 | Test Average MSE: 0.5642
Epoch #83 | Train Average MSE: 0.1671 | Test Average MSE: 0.5762
Epoch #84 | Train Average MSE: 0.1373 | Test Average MSE: 0.5675
Epoch #85 | Train Average MSE: 0.1226 | Test Average MSE: 0.5705
Epoch #86 | Train Average MSE: 0.1197 | Test Average MSE: 0.5602
Epoch #87 | Train Average MSE: 0.1151 | Test Average MSE: 0.5581
Epoch #88 | Train Average MSE: 0.1153 | Test Average MSE: 0.5517
Epoch #89 | Train Average MSE: 0.1168 | Test Average MSE: 0.5761
Epoch #90 | Train Average MSE: 0.1101 | Test Average MSE: 0.5659
Epoch #91 | Train Average MSE: 0.1114 | Test Average MSE: 0.5528
